player_id,year,player_name,position_combine,School,height,weight,forty_yard,vertical_leap,bench_press,broad_jump,three_cone,shuttle_run,nfl_team,position_nfl_standard,draft_round
2010BrenBowd,2010,Brent Bowden,P,Virginia Tech,74,202.0,4.8,,,,,,TAM,P,6.0
2010NavoBowm,2010,Navorro Bowman,OLB,Penn State,72,242.0,4.7,29.5,26.0,115.0,6.91,4.59,Undrafted,Undrafted,8.0
2010Sam Brad,2010,Sam Bradford,QB,Oklahoma,76,236.0,4.79,,,,,,STL,QB,1.0
2010DezmBris,2010,Dezmon Briscoe,WR,Kansas,74,207.0,4.66,33.0,9.0,115.0,7.1,4.57,CIN,WR,6.0
2010DoriBroo,2010,Dorian Brooks,OG,James Madison,74,306.0,5.15,23.0,26.0,100.0,7.73,4.66,Undrafted,Undrafted,8.0
2010ChriBrow,2010,Chris Brown,RB,Oklahoma,70,210.0,4.55,36.0,17.0,115.0,,,Undrafted,Undrafted,8.0
2010AntoBrow,2010,Antonio Brown,WR,Central Michigan,70,186.0,4.56,33.5,13.0,105.0,6.98,4.18,PIT,WR,6.0
2010CharBrow,2010,Charles Brown,OT,USC,77,303.0,5.21,31.5,21.0,,,,NOR,T,2.0
2010CornBrow,2010,Cornelius Brown,CB,Texas-El Paso,71,198.0,4.59,31.5,11.0,118.0,6.87,4.24,Undrafted,Undrafted,8.0
2010JarrBrow,2010,Jarrett Brown,QB,West Virginia,75,224.0,4.5,34.5,,114.0,7.24,4.39,Undrafted,Undrafted,8.0
2010LeviBrow,2010,Levi Brown,QB,Troy,75,229.0,4.93,31.5,20.0,106.0,7.07,4.43,BUF,QB,7.0
2010Dez Brya,2010,Dez Bryant,WR,Oklahoma State,74,225.0,4.52,,,,,,DAL,WR,1.0
2010BryaBula,2010,Bryan Bulaga,OT,Iowa,77,314.0,5.2,27.5,26.0,98.0,7.7,4.75,GNB,T,1.0
2010MorgBurn,2010,Morgan Burnett,S,Georgia Tech,73,209.0,4.51,,16.0,,,,GNB,DB,3.0
2010CrezButl,2010,Crezdon Butler,CB,Clemson,72,191.0,4.43,39.5,17.0,121.0,7.08,4.23,PIT,DB,5.0
2010DonaButl,2010,Donald Butler,ILB,Washington,73,245.0,4.61,,35.0,,,,SDG,LB,3.0
2010JeffByer,2010,Jeff Byers,C,USC,75,301.0,5.04,,33.0,,,,Undrafted,Undrafted,8.0
2010NateByha,2010,Nate Byham,TE,Pittsburgh,76,268.0,4.97,29.0,,109.0,,,SFO,TE,6.0
2010KyleCall,2010,Kyle Calloway,OT,Iowa,78,323.0,5.46,23.5,22.0,92.0,7.96,4.86,BUF,T,7.0
2010Lee Camp,2010,Lee Campbell,ILB,Minnesota,74,247.0,4.88,34.0,17.0,108.0,7.27,4.4,Undrafted,Undrafted,8.0
2010BrucCamp,2010,Bruce Campbell,OT,Maryland,78,314.0,4.75,32.0,34.0,101.0,7.58,4.69,OAK,T,4.0
2010SeanCanf,2010,Sean Canfield,QB,Oregon State,76,223.0,4.93,29.5,,100.0,7.26,4.39,NOR,QB,7.0
2010SelvCape,2010,Selvish Capers,OT,West Virginia,77,308.0,5.11,30.5,19.0,106.0,7.68,4.68,WAS,T,7.0
2010AlexCarr,2010,Alex Carrington,DE,Arkansas State,77,285.0,4.92,,26.0,,,,BUF,DE,3.0
2010NolaCarr,2010,Nolan Carroll,CB,Maryland,71,204.0,4.42,,,,,,MIA,DB,5.0
2010BranCart,2010,Brandon Carter,OG,Texas Tech,78,329.0,5.34,24.5,22.0,102.0,7.82,4.94,Undrafted,Undrafted,8.0
2010ChriCart,2010,Chris Carter,WR,California-Davis,71,191.0,4.49,,12.0,,,,Undrafted,Undrafted,8.0
