Player,Pos,School,AP Ranking,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Year,player_id,year,rnd,pick,tm,hof,pos,position_standard,first4av,age,to,ap1,pb,st,carav,drav,g,cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_tds,rec,rec_yds,rec_tds,tkl,def_int,sk,college_univ
Drake Nevis,DT,LSU,,1-Jun,294,5.06,30.5,31,112,7.71,4.65,2011,NeviDr00,2011,3,87,IND,No,DT,DT,4,22,2013,0,0,0,4,3,26,,,,,,,,,,,,27,,1,LSU
Cam Newton,QB,Auburn,,5-Jun,248,4.56,35,,126,6.92,4.18,2011,NewtCa00,2011,1,1,CAR,No,QB,QB,83,22,2016,1,3,5,76,76,87,1615,2728,20449,128,71,661,3475,47,1,33,0,6,,,Auburn
Derek Newton,OT,Arkansas State,,5-Jun,311,5,25.5,24,100,7.76,5,2011,NewtDe00,2011,7,214,HOU,No,T,T,27,23,2016,0,0,4,25,25,82,,,,,,,,,,,,1,,,Arkansas St.
Cheta Ozougwu,DE,Rice,,2-Jun,247,4.84,34.5,26,119,7.06,4.31,2011,OzouCh00,2011,7,254,HOU,No,DE,DE,1,22,2013,0,0,0,1,,9,,,,,,,,,,,,4,,1,Rice
Stephen Paea,DT,Oregon State,,1-Jun,303,4.98,,49,,,,2011,PaeaSt00,2011,2,53,CHI,No,DT,DT,21,23,2016,0,0,3,20,18,76,,,,,,,,,,,,73,,13.5,Oregon St.
Johnny Patrick,CB,Louisville,,11-May,191,4.59,32,13,110,,4.16,2011,PatrJo00,2011,3,88,NOR,No,DB,DB,4,23,2013,0,0,0,4,2,37,,,,,,,,,,,,62,1,1.5,Louisville
Niles Paul,WR,Nebraska,,1-Jun,224,4.45,34.5,24,117,6.9,4.14,2011,PaulNi00,2011,5,155,WAS,No,WR,WR,5,22,2016,0,0,0,5,5,68,,,,,,2,6,0,55,762,2,21,,,Nebraska
Patrick Peterson,CB,LSU,,Jun-00,219,4.31,38,15,126,6.58,4.07,2011,PetePa00,2011,1,5,ARI,No,DB,DB,69,21,2016,3,5,6,63,63,90,1,1,17,0,0,7,34,0,10,64,0,258,19,2,LSU
Austin Pettis,WR,Boise State,,3-Jun,209,4.56,33.5,14,120,6.68,3.88,2011,PettAu00,2011,3,78,STL,No,WR,WR,8,23,2014,0,0,0,8,8,51,,,,,,1,-6,0,107,1034,9,5,,,Boise St.
Kealoha Pilares,WR,Hawaii,,10-May,199,4.42,,19,,,,2011,PilaKe00,2011,5,132,CAR,No,WR,WR,1,23,2012,0,0,0,1,1,20,,,,,,1,17,0,2,42,1,5,,,Hawaii
Jason Pinkston,OT,Pittsburgh,,3-Jun,317,5.39,26.5,,98,7.88,4.91,2011,PinkJa00,2011,5,150,CLE,No,T,T,10,24,2013,0,0,1,10,10,25,,,,,,,,,,,,,,,Pittsburgh
Christian Ponder,QB,Florida State,,2-Jun,229,4.63,34,,116,6.85,4.09,2011,PondCh00,2011,1,12,MIN,No,QB,QB,23,23,2014,0,0,3,22,22,38,632,1057,6658,38,36,126,639,7,1,-15,0,5,,,Florida St.
Mike Pouncey,OG,Florida,,5-Jun,303,5.12,25,,96,7.66,4.64,2011,PounMi00,2011,1,15,MIA,No,G,G,38,22,2016,0,3,5,34,34,77,,,,,,,,,,,,4,,,Florida
Jerrell Powe,DT,Mississippi,,2-Jun,335,5.25,25,27,93,8.17,5.06,2011,PoweJe00,2011,6,199,KAN,No,DT,DT,3,24,2014,0,0,0,3,1,28,,,,,,,,,,,,12,,1,Mississippi
Bilal Powell,RB,Louisville,,10-May,207,4.51,,18,,,,2011,PoweBi00,2011,4,126,NYJ,No,RB,RB,14,22,2016,0,0,1,13,13,68,1,1,30,0,0,442,1881,8,148,1139,3,11,,,Louisville
Robert Quinn,DE,North Carolina,,4-Jun,265,4.62,34,22,116,7.13,4.4,2011,QuinRo00,2011,1,14,STL,No,DE,DE,41,21,2016,1,2,3,39,39,79,,,,,,,,,,,,153,,53,North Carolina
Will Rackley,OG,Lehigh,,3-Jun,309,5.39,23.5,29,99,7.91,4.94,2011,RackWi01,2011,3,76,JAX,No,G,G,8,21,2013,0,0,2,8,8,26,,,,,,,,,,,,5,,,Lehigh
Brooks Reed,OLB,Arizona,,2-Jun,263,4.65,30.5,30,113,7.11,4.28,2011,ReedBr00,2011,2,42,HOU,No,LB,LB,29,24,2016,0,0,4,27,24,82,,,,,,,,,,,,139,1,15.5,Arizona
D'Aundre Reed,DE,Arizona,,4-Jun,261,4.84,35.5,30,119,7.24,4.32,2011,ReedD'00,2011,7,215,MIN,No,DE,DE,0,23,2012,0,0,0,0,0,6,,,,,,,,,,,,,,,Arizona
Jah Reid,OT,Central Florida,,7-Jun,327,5.32,29.5,28,111,7.73,4.65,2011,ReidJa00,2011,3,85,BAL,No,T,T,11,23,2016,0,0,1,11,6,54,,,,,,,,,,,,,,,Central Florida
Stevan Ridley,RB,LSU,,11-May,225,4.65,36,18,118,6.78,4.21,2011,RidlSt00,2011,3,73,NWE,No,RB,RB,25,22,2016,0,0,1,24,23,62,,,,,,688,2914,22,27,144,0,1,,,LSU
Aldrick Robinson,WR,SMU,,10-May,184,4.35,40,17,126,6.65,4.09,2011,RobiAl00,2011,6,178,WAS,No,WR,WR,5,23,2016,0,0,0,5,5,48,,,,,,4,10,0,38,709,6,1,,,SMU
Jacquizz Rodgers,RB,Oregon State,,6-May,196,4.59,33,,113,7.31,4.26,2011,RodgJa00,2011,5,145,ATL,No,RB,RB,18,21,2016,0,0,0,17,17,74,,,,,,407,1550,6,165,1172,5,8,,,Oregon St.
Justin Rogers,CB,Richmond,,10-May,180,4.45,33,14,114,7.21,4.2,2011,RogeJu00,2011,7,206,BUF,No,DB,DB,4,23,2015,0,0,0,4,4,43,,,,,,,,,,,,66,3,,Richmond
Justin Rogers,CB,Richmond,,10-May,180,4.45,33,14,114,7.21,4.2,2011,RogeJu99,2007,6,180,NWE,No,LB,LB,2,24,2009,0,0,0,2,,32,,,,,,,,,,,,24,,,SMU
Brian Rolle,OLB,Ohio State,,10-May,229,4.53,33,28,115,6.89,4.26,2011,RollBr00,2011,6,193,PHI,No,LB,LB,6,22,2012,0,0,1,6,6,20,,,,,,,,,,,,45,,1,Ohio St.
Greg Romeus,DE,Pittsburgh,,5-Jun,264,4.79,,,,,,2011,RomeGr00,2011,7,226,NOR,No,DL,DE,0,23,2012,0,0,0,0,0,,,,,,,,,,,,,,,,Pittsburgh
Evan Royster,RB,Penn State,,Jun-00,212,4.65,34,20,113,7.07,4.18,2011,RoysEv00,2011,6,177,WAS,No,RB,RB,4,23,2013,0,0,0,4,4,32,,,,,,81,416,2,26,188,0,3,,,Penn St.
Chris Rucker,CB,Michigan State,,Jun-00,195,4.54,,10,,,,2011,RuckCh00,2011,6,188,IND,No,DB,DB,2,22,2011,0,0,0,2,2,15,,,,,,,,,,,,25,,,Michigan St.
Kyle Rudolph,TE,Notre Dame,,6-Jun,259,4.83,,,,,,2011,RudoKy00,2011,2,43,MIN,No,TE,TE,17,21,2016,0,1,6,16,16,75,,,,,,,,,230,2249,27,3,,,Notre Dame
Greg Salas,WR,Hawaii,,1-Jun,210,4.53,37,15,120,6.65,4.1,2011,SalaGr00,2011,4,112,STL,No,WR,WR,3,23,2016,0,0,0,3,1,29,,,,,,2,28,1,50,704,1,3,,,Hawaii
DeMarco Sampson,WR,San Diego State,,2-Jun,204,4.41,,14,,,,2011,SampDe00,2011,7,249,ARI,No,WR,WR,0,25,2011,0,0,0,0,0,12,,,,,,,,,3,36,0,1,,,San Diego St.
Robert Sands,S,West Virginia,,4-Jun,217,4.53,35,12,124,7.03,4.06,2011,SandRo00,2011,5,134,CIN,No,DB,DB,0,21,2012,0,0,0,0,0,1,,,,,,,,,,,,,,,West Virginia
Tyler Sash,S,Iowa,,Jun-00,211,4.62,33,11,108,6.9,4.27,2011,SashTy00,2011,6,198,NYG,No,DB,DB,1,23,2012,0,0,0,1,1,23,,,,,,,,,,,,17,,,Iowa
Caleb Schlauderaff,OG,Utah,,4-Jun,305,5.18,,,,,,2011,SchlCa00,2011,6,179,GNB,No,G,G,1,23,2013,0,0,0,1,,12,,,,,,,,,,,,,,,Southern Utah
Da'Rel Scott,RB,Maryland,,11-May,211,4.4,34,19,117,7.15,4.2,2011,ScotDa01,2011,7,221,NYG,No,RB,RB,1,23,2013,0,0,0,1,1,20,,,,,,31,98,0,13,115,1,2,,,Maryland
Da'Norris Searcy,S,North Carolina,,11-May,223,4.55,33,27,120,6.87,4.09,2011,SearDa00,2011,4,100,BUF,No,DB,DB,19,22,2016,0,0,1,18,13,86,,,,,,,,,,,,213,6,4.5,North Carolina
Jabaal Sheard,DE,Pittsburgh,,3-Jun,264,4.68,31,,115,,,2011,SheaJa00,2011,2,37,CLE,No,DE,DE,32,22,2016,0,0,3,30,27,83,,,,,,,,,,,,165,,34.5,Pittsburgh
Kelvin Sheppard,ILB,LSU,,2-Jun,250,4.7,33.5,22,110,,4.28,2011,ShepKe00,2011,3,68,BUF,No,LB,LB,20,23,2016,0,0,3,19,8,87,,,,,,,,,,,,225,,3,LSU
Anthony Sherman,FB,Connecticut,,10-May,242,4.74,32.5,32,111,7.23,4.41,2011,SherAn00,2011,5,136,ARI,No,RB,RB,4,22,2016,0,0,1,4,1,86,,,,,,6,14,0,48,380,2,37,,,Connecticut
Richard Sherman,CB,Stanford,,3-Jun,195,4.54,38,16,125,6.82,4.33,2011,SherRi00,2011,5,154,SEA,No,DB,DB,72,23,2016,3,3,6,66,66,90,,,,,,,,,,,,248,30,1,Stanford
Derek Sherrod,OT,Mississippi State,,5-Jun,321,5.18,28,23,97,7.43,4.63,2011,SherDe00,2011,1,32,GNB,No,T,T,3,22,2014,0,0,0,3,3,20,,,,,,,,,,,,1,,,Mississippi St.
Cecil Shorts,WR,Mount Union,,Jun-00,205,4.5,34.5,21,114,6.5,4.07,2011,ShorCe00,2011,4,114,JAX,No,WR,WR,19,23,2016,0,0,3,18,14,68,3,3,53,2,0,11,43,0,227,2959,14,6,,,Mount Union
Buster Skrine,CB,Tenn-Chattanooga,,9-May,186,4.37,37,20,122,6.44,3.9,2011,SkriBu00,2011,5,137,CLE,No,DB,DB,20,22,2016,0,0,2,19,15,89,,,,,,,,,,,,265,8,2,Tenn-Chattanooga
Aldon Smith,DE,Missouri,,4-Jun,263,4.74,34,20,118,7.19,4.5,2011,SmitAl04,2011,1,7,SFO,No,DE,DE,29,22,2015,1,1,2,27,25,59,,,,,,,,,,,,141,1,47.5,Missouri
D.J. Smith,OLB,Appalachian State,,11-May,239,4.71,31,20,104,7.35,4.45,2011,SmitD.00,2011,6,186,GNB,No,LB,LB,0,22,2014,0,0,0,6,6,24,,,,,,,,,,,,62,1,2,Appalachian St.
Jimmy Smith,CB,Colorado,,2-Jun,211,4.42,36,24,123,6.93,4.06,2011,SmitJi03,2011,1,27,BAL,No,DB,DB,20,23,2016,0,0,3,19,19,72,,,,,,,,,,,,193,8,1,Colorado
Keith Smith,WR,San Jose State,,2-Jun,214,4.65,,,,,,2011,SmitKe20,2004,3,73,DET,No,DB,DB,7,24,2009,0,0,0,7,7,74,,,,,,,,,,,,120,4,1,McNeese St.
Lee Smith,TE,Marshall,,6-Jun,266,4.94,29,25,108,7.13,4.28,2011,SmitLe00,2011,5,159,NWE,No,TE,TE,2,23,2016,0,0,3,2,,75,,,,,,,,,38,243,4,4,,,Tennessee
Torrey Smith,WR,Maryland,,1-Jun,204,4.41,41,19,126,6.72,4.13,2011,SmitTo02,2011,2,58,BAL,No,WR,WR,35,22,2016,0,0,5,32,29,89,,,,,,7,48,0,263,4497,36,6,,,Maryland
Tyron Smith,OT,USC,,5-Jun,307,4.93,,29,,,,2011,SmitTy00,2011,1,9,DAL,No,T,T,54,20,2016,1,3,5,49,49,88,,,,,,,,,,,,3,,,USC
Nate Solder,OT,Colorado,,8-Jun,319,4.96,32,21,110,7.44,4.34,2011,SoldNa00,2011,1,17,NWE,No,T,T,40,23,2016,0,0,4,37,37,76,,,,,,,,,0,0,0,5,,,Colorado
Ricky Stanzi,QB,Iowa,,4-Jun,223,4.87,32.5,,110,6.95,4.43,2011,StanRi00,2011,5,135,KAN,No,QB,QB,0,24,2012,0,0,0,0,0,,,,,,,,,,,,,,,,Iowa
Luke Stocker,TE,Tennessee,,5-Jun,258,4.68,33,27,115,7.03,4.4,2011,StocLu00,2011,4,104,TAM,No,TE,TE,3,23,2016,0,0,3,3,3,66,,,,,,,,,47,378,2,7,,,Tennessee
Quan Sturdivant,ILB,North Carolina,,1-Jun,241,4.75,34,21,115,,4.5,2011,SturQu00,2011,6,171,ARI,No,LB,LB,0,22,2012,0,0,0,0,,,,,,,,,,,,,,,,,North Carolina
Phil Taylor,DT,Baylor,,3-Jun,334,5.09,29.5,31,100,7.75,4.77,2011,TaylPh00,2011,1,21,CLE,No,DT,DT,21,23,2014,0,0,2,20,20,44,,,,,,,,,,,,69,,7,Baylor
Tyrod Taylor,QB,Virginia Tech,,1-Jun,217,4.47,37.5,,126,6.78,4.09,2011,TaylTy00,2011,6,180,BAL,No,QB,QB,14,22,2016,0,1,2,14,1,38,442,710,5169,30,12,194,1105,9,2,10,0,1,,,Virginia Tech
Daniel Thomas,RB,Kansas State,,Jun-00,230,4.62,,21,,,,2011,ThomDa03,2011,2,62,MIA,No,RB,RB,12,23,2014,0,0,1,11,11,52,,,,,,409,1480,10,55,412,3,4,,,Kansas St.
J.T. Thomas,OLB,West Virginia,,1-Jun,241,4.65,30.5,23,114,7.23,4.28,2011,ThomJ.02,2011,6,195,CHI,No,LB,LB,0,23,2016,0,0,2,12,1,60,,,,,,,,,,,,99,2,0.5,West Virginia
Josh Thomas,CB,Buffalo,,10-May,191,4.46,38.5,13,126,6.99,4.15,2011,ThomJo01,2011,5,143,DAL,No,DB,DB,7,22,2015,0,0,0,7,0,52,,,,,,,,,,,,54,1,,Buffalo
Julius Thomas,TE,Portland State,,5-Jun,246,4.64,35.5,16,111,6.96,4.31,2011,ThomJu00,2011,4,129,DEN,No,TE,TE,17,23,2016,0,2,3,16,13,57,,,,,,,,,185,2018,33,5,,,Portland St.
Brandyn Thompson,CB,Boise State,,9-May,189,4.5,33.5,13,114,6.66,4.12,2011,ThomBr00,2011,7,213,WAS,No,DB,DB,1,21,2011,0,0,0,1,1,6,,,,,,,,,,,,2,,,Boise St.
Jordan Todman,RB,Connecticut,,9-May,203,4.4,38,25,126,7.24,4.18,2011,TodmJo00,2011,6,183,SDG,No,RB,RB,4,21,2016,0,0,0,4,0,56,,,,,,118,509,3,40,314,2,10,,,Connecticut
Julian Vandervelde,OG,Iowa,,2-Jun,301,5.12,31,23,104,7.46,4.59,2011,VandJu00,2011,5,161,PHI,No,G,G,1,23,2015,0,0,0,1,1,17,,,,,,,,,,,,,,,Iowa
Shane Vereen,RB,California,,10-May,210,4.49,34,31,115,6.95,4.28,2011,VereSh00,2011,2,56,NWE,No,RB,RB,23,22,2016,0,0,0,22,16,61,,,,,,309,1314,8,174,1592,11,3,,,California
Danny Watkins,OG,Baylor,,3-Jun,310,5.36,26,29,92,7.61,4.62,2011,WatkDa00,2011,1,23,PHI,No,G,G,9,26,2013,0,0,1,9,9,24,,,,,,,,,,,,,,,Baylor
J.J. Watt,DE,Wisconsin,,5-Jun,290,4.81,37,34,120,6.88,4.21,2011,WattJ.00,2011,1,11,HOU,No,DE,DE,88,22,2016,4,4,5,81,81,83,,,,,,,,,3,4,3,299,1,76,Wisconsin
Ryan Whalen,WR,Stanford,,1-Jun,202,4.53,38.5,18,123,6.67,4.09,2011,WhalRy00,2011,6,167,CIN,No,WR,WR,0,22,2013,0,0,0,0,0,17,,,,,,,,,11,80,0,2,,,Stanford
Chris White,ILB,Mississippi State,,3-Jun,240,4.65,34,17,115,6.95,4.25,2011,WhitCh03,2011,6,169,BUF,No,LB,LB,4,22,2014,0,0,0,4,2,51,,,,,,,,,,,,29,,,Mississippi St.
Johnny White,RB,North Carolina,,10-May,209,4.5,32.5,,117,7.07,4.31,2011,WhitJo01,2011,5,133,BUF,No,RB,RB,0,23,2012,0,0,0,0,0,19,,,,,,20,72,0,1,-3,0,6,,,North Carolina
Markus White,DE,Florida State,,3-Jun,266,4.86,32.5,14,117,7.25,4.51,2011,WhitMa01,2011,7,224,WAS,No,DE,DE,0,23,2012,0,0,0,0,0,5,,,,,,,,,,,,,,,Florida St.
Muhammad Wilkerson,DT,Temple,,4-Jun,315,4.96,26,27,106,7.31,4.59,2011,WilkMu00,2011,1,30,NYJ,No,DT,DT,60,21,2016,0,1,5,55,55,86,,,,,,,,,,,,206,1,39,Temple
Aaron Williams,CB,Texas,,Jun-00,204,4.55,37.5,18,127,6.72,4.07,2011,WillAa00,2011,2,34,BUF,No,DB,DB,17,21,2016,0,0,2,16,16,59,,,,,,,,,,,,183,7,,Texas
D.J. Williams,TE,Arkansas,,2-Jun,245,4.59,33.5,20,111,7.29,4.51,2011,WillD.00,2011,5,141,GNB,No,TE,TE,0,23,2013,0,0,0,1,1,35,,,,,,,,,9,70,0,3,,,Arkansas
D.J. Williams,TE,Arkansas,,2-Jun,245,4.59,33.5,20,111,7.29,4.51,2011,WillD.20,2004,1,17,DEN,No,LB,LB,0,22,2014,0,0,9,54,51,145,,,,,,,,,,,,676,2,22.5,Miami (FL)
Keith Williams,OG,Nebraska,,4-Jun,318,5.28,24.5,23,93,8.42,5.03,2011,WillKe04,2011,6,196,PIT,No,G,G,0,23,2012,0,0,1,0,,2,,,,,,,,,,,,,,,Nebraska
Ryan Williams,RB,Virginia Tech,,9-May,212,4.59,40,19,123,6.96,4.18,2011,WillRy00,2011,2,38,ARI,No,RB,RB,1,21,2012,0,0,0,1,1,5,,,,,,58,164,0,7,44,0,,,,Virginia Tech
Lawrence Wilson,OLB,Connecticut,,1-Jun,229,4.71,32.5,24,113,7.31,4.5,2011,WilsLa01,2011,6,166,CAR,No,LB,LB,0,23,,0,0,0,,,,,,,,,,,,,,,,,,Central Connecticut St.
Martez Wilson,ILB,Illinois,,4-Jun,250,4.42,36,23,124,7.04,4.28,2011,WilsMa01,2011,3,72,NOR,No,LB,LB,3,23,2013,0,0,0,3,3,38,,,,,,,,,,,,25,,5,Illinois
Stefen Wisniewski,C,Penn State,,3-Jun,313,5.29,28.5,30,100,7.51,4.63,2011,WisnSt01,2011,2,48,OAK,No,C,C,33,22,2016,0,0,5,30,23,87,,,,,,,,,,,,3,,,Penn St.
K.J. Wright,OLB,Mississippi State,,3-Jun,246,4.71,32,20,120,7.26,4.46,2011,WrigK.00,2011,4,99,SEA,No,LB,LB,0,22,2016,0,0,6,39,39,86,,,,,,,,,,,,372,1,10.5,Mississippi St.
Shareece Wright,CB,USC,,11-May,185,4.41,34.5,16,113,,,2011,WrigSh00,2011,3,89,SDG,No,DB,DB,12,24,2016,0,0,2,11,10,61,,,,,,,,,,,,191,1,,USC
T.J. Yates,QB,North Carolina,,3-Jun,219,5.06,29.5,,104,6.96,4.12,2011,YateT.00,2011,5,152,HOU,No,QB,QB,0,24,2015,0,0,0,4,4,18,132,227,1534,6,8,23,56,1,,,,2,,,North Carolina
Titus Young,WR,Boise State,,11-May,174,4.43,,,123,,,2011,YounTi00,2011,2,44,DET,No,WR,WR,8,22,2012,0,0,2,8,8,26,,,,,,4,31,0,81,990,10,2,,,Boise St.
Lee Ziemba,OT,Auburn,,6-Jun,317,5.5,29,20,95,7.74,4.65,2011,ZiemLe00,2011,7,244,CAR,No,T,T,1,22,2012,0,0,0,1,1,6,,,,,,,,,,,,,,,Auburn
Emmanuel Acho,OLB,Texas,,2-Jun,238,4.64,35.5,24,118,,,2012,AchoEm00,2012,6,204,CLE,No,LB,LB,2,21,2014,0,0,0,2,0,20,,,,,,,,,,,,22,,,Texas
Joe Adams,WR,Arkansas,,11-May,179,4.51,36,,123,7.09,,2012,AdamJo01,2012,4,104,CAR,No,WR,WR,0,22,2012,0,0,0,0,0,9,,,,,,3,13,0,1,7,0,,,,Arkansas
Mike Adams,OT,Ohio State,,7-Jun,323,5.28,28.5,19,100,7.94,4.95,2012,AdamMi02,2012,2,56,PIT,No,T,T,11,22,2016,0,0,0,11,11,50,,,,,,,,,,,,2,,,Ohio St.
Frank Alexander,DE,Oklahoma,,4-Jun,270,4.8,,,,,,2012,AlexFr00,2012,4,103,CAR,No,DE,DE,6,22,2014,0,0,0,6,6,29,,,,,,,,,,,,20,,3.5,Oklahoma
Antonio Allen,S,South Carolina,,1-Jun,210,4.58,34,17,118,7.02,4.25,2012,AlleAn02,2012,7,242,NYJ,No,DB,DB,9,24,2016,0,0,2,9,9,48,,,,,,,,,,,,77,1,2.5,South Carolina
Dwayne Allen,TE,Clemson,,3-Jun,255,4.85,32,27,110,7.12,4.37,2012,AlleDw00,2012,3,64,IND,No,TE,TE,8,22,2016,0,0,2,8,8,52,,,,,,4,6,0,115,1301,15,2,,,Clemson
Jeff Allen,OT,Illinois,,4-Jun,307,5.17,27.5,26,102,8.01,4.9,2012,AlleJe01,2012,2,44,KAN,No,T,T,15,22,2016,0,0,2,14,14,53,,,,,,,,,,,,1,,,Illinois
Justin Anderson,OT,Georgia,,4-Jun,335,5.24,27,32,101,8.04,4.99,2012,AndeJu00,2012,7,208,IND,No,OL,G,0,24,2012,0,0,0,0,0,,,,,,,,,,,,,,,,Georgia
Bryan Anger,P,California,,4-Jun,208,4.86,,,,,,2012,AngeBr00,2012,3,70,JAX,No,P,P,12,23,2016,0,0,0,11,11,74,1,1,19,0,0,1,0,0,,,,1,,,California
Mark Asper,OG,Oregon,,6-Jun,319,5.32,,23,,,,2012,AspeMa00,2012,6,178,BUF,No,G,G,0,26,2013,0,0,0,0,0,7,,,,,,,,,,,,,,,Oregon
Edwin Baker,RB,Michigan State,,8-May,204,4.44,35,20,111,7.27,4.31,2012,BakeEd01,2012,7,250,SDG,No,RB,RB,1,21,2014,0,0,0,1,0,6,,,,,,44,173,2,8,57,0,,,,Michigan St.
Vick Ballard,RB,Mississippi State,,10-May,219,4.59,33,23,115,7.03,4.19,2012,BallVi00,2012,5,170,IND,No,RB,RB,5,22,2013,0,0,1,5,5,17,,,,,,224,877,2,18,147,1,,,,Mississippi St.
Mark Barron,S,Alabama,,1-Jun,213,4.54,,,,,,2012,BarrMa00,2012,1,7,TAM,No,DB,DB,19,22,2016,0,0,3,18,12,72,,,,,,,,,,,,333,5,7,Alabama
Kelvin Beachum,OG,SMU,,3-Jun,303,5.38,28.5,19,101,7.79,4.8,2012,BeacKe00,2012,7,248,PIT,No,T,T,19,23,2016,0,0,2,18,18,53,,,,,,,,,,,,2,,,SMU
Travis Benjamin,WR,Miami (FL),,10-May,172,4.31,38,14,119,,,2012,BenjTr00,2012,4,100,CLE,No,WR,WR,14,22,2016,0,0,1,13,13,63,0,1,0,0,0,15,133,0,148,2197,13,3,,,Miami (FL)
Bill Bentley,CB,Colorado,,10-May,182,4.42,31.5,13,114,6.99,4.5,2012,BentBi00,2012,3,85,DET,No,DB,DB,3,23,2015,0,0,0,3,3,20,,,,,,,,,,,,34,,,
Jake Bequette,DE,Arkansas,,5-Jun,274,4.75,34,,113,6.9,4.07,2012,BequJa00,2012,3,90,NWE,No,DE,DE,0,23,2013,0,0,0,0,0,8,,,,,,,,,,,,,,,Arkansas
Tony Bergstrom,OT,Utah,,5-Jun,313,5.19,29.5,32,101,7.95,4.84,2012,BergTo00,2012,3,95,OAK,No,T,T,3,26,2016,0,0,0,3,3,34,,,,,,,,,,,,,,,Utah
Justin Bethel,S,Presbyterian,,Jun-00,200,4.52,39.5,19,131,6.79,4.3,2012,BethJu00,2012,6,177,ARI,No,DB,DB,11,22,2016,0,3,0,10,10,74,,,,,,,,,,,,82,2,,Presbyterian
Justin Blackmon,WR,Oklahoma State,,1-Jun,207,4.46,,14,,,,2012,BlacJu00,2012,1,5,JAX,No,WR,WR,9,22,2013,0,0,1,9,9,20,,,,,,3,22,0,93,1280,6,1,,,Oklahoma St.
Philip Blake,C,Baylor,,3-Jun,311,5.17,29.5,22,105,7.86,4.65,2012,BlakPh00,2012,4,108,DEN,No,OL,C,0,26,2012,0,0,0,0,0,,,,,,,,,,,,,,,,Baylor
Robert Blanton,CB,Notre Dame,,1-Jun,208,4.66,34,12,116,6.71,3.97,2012,BlanRo00,2012,5,139,MIN,No,DB,DB,9,23,2016,0,0,1,9,9,70,,,,,,,,,,,,154,1,,Notre Dame
Omar Bolden,CB,Arizona State,,10-May,202,4.51,,24,,,,2012,BoldOm00,2012,4,101,DEN,No,DB,DB,5,23,2015,0,0,0,5,5,56,,,,,,,,,,,,34,,,Arizona St.
Brandon Boykin,CB,Georgia,,9-May,182,4.44,,,,,,2012,BoykBr00,2012,4,123,PHI,No,DB,DB,9,22,2015,0,0,0,9,7,64,,,,,,,,,,,,118,8,2,Georgia
Nigel Bradham,OLB,Florida State,,2-Jun,241,4.56,37,24,121,7.18,4.37,2012,BradNi00,2012,4,105,BUF,No,LB,LB,19,23,2016,0,0,4,18,18,67,,,,,,,,,,,,207,2,4.5,Florida St.
Andre Branch,DE,Clemson,,4-Jun,259,4.67,32.5,19,120,7.19,4.25,2012,BranAn00,2012,2,38,JAX,No,LB,LB,10,23,2016,0,0,0,10,10,61,,,,,,,,,,,,81,,17.5,Clemson
LaVon Brazill,WR,Ohio,,11-May,192,4.43,32.5,11,,,,2012,BrazLa00,2012,6,206,IND,No,WR,WR,3,23,2013,0,0,0,3,3,25,,,,,,,,,23,347,3,5,,,Ohio
Michael Brockers,DT,LSU,,5-Jun,322,5.31,26.5,,105,7.46,4.81,2012,BrocMi00,2012,1,14,STL,No,DT,DT,30,21,2016,0,0,4,28,28,69,,,,,,,,,,,,116,,14.5,LSU
Ron Brooks,CB,LSU,,10-May,190,4.37,38,12,120,,,2012,BrooRo01,2012,4,124,BUF,No,DB,DB,4,23,2016,0,0,0,4,4,52,,,,,,,,,,,,66,,,LSU
Charles Brown,CB,North Carolina,,9-May,202,4.53,35.5,18,114,6.94,4.06,2012,BrowCh28,2010,2,64,NOR,No,T,T,15,23,2015,0,0,1,15,14,54,,,,,,,,,,,,1,,,USC
Zach Brown,OLB,North Carolina,,1-Jun,244,4.44,33.5,,116,,,2012,BrowZa00,2012,2,52,TEN,No,LB,LB,18,22,2016,0,0,3,17,17,59,,,,,,,,,,,,262,6,13,North Carolina
Ryan Broyles,WR,Oklahoma,,10-May,192,4.57,,21,,,,2012,BroyRy00,2012,2,54,DET,No,WR,WR,3,24,2014,0,0,0,3,3,21,,,,,,,,,32,420,2,,,,Oklahoma
Randy Bullock,K,Texas A&M,,9-May,205,,,,,,,2012,BullRa00,2012,5,161,HOU,No,K,K,5,22,2016,0,0,0,5,4,44,,,,,,,,,,,,2,,,Texas A&M
Miles Burris,OLB,San Diego State,,2-Jun,246,4.67,37.5,31,121,,,2012,BurrMi00,2012,4,129,OAK,No,LB,LB,14,24,2014,0,0,2,14,14,38,,,,,,,,,,,,142,1,1.5,San Diego St.
Tank Carder,ILB,TCU,,2-Jun,236,4.58,34.5,19,121,6.89,4.18,2012,CardTa00,2012,5,147,BUF,No,LB,LB,4,23,2016,0,0,0,4,,73,,,,,,,,,,,,21,,,TCU
Josh Chapman,DT,Alabama,,1-Jun,316,5.02,,,,,,2012,ChapJo00,2012,5,136,IND,No,NT,DT,8,23,2014,0,0,1,8,8,29,,,,,,,,,,,,29,,,Alabama
Orson Charles,TE,Georgia,,2-Jun,251,4.73,,35,,,,2012,CharOr00,2012,4,116,CIN,No,TE,TE,1,21,2016,0,0,0,1,1,31,,,,,,,,,9,109,0,4,,,Georgia
